info: Fetching Post API hit.... || timestamp: 14-02-2024 10:07:57 AM 
info: Success in fetching data || timestamp: 14-02-2024 1:23:39 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 2:41:34 PM 
info: Success in fetching data || timestamp: 14-02-2024 2:41:34 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 2:41:34 PM 
info: Success in fetching data || timestamp: 14-02-2024 2:41:35 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 2:56:49 PM 
info: Success in fetching data || timestamp: 14-02-2024 2:56:49 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 2:56:49 PM 
info: Success in fetching data || timestamp: 14-02-2024 2:56:49 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:01:46 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:01:46 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:01:46 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:01:46 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:12:35 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:12:35 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:12:35 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:12:35 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:13:27 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:13:27 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:13:27 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:13:27 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:22:54 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:22:55 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:22:55 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:22:55 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:35:59 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:35:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:35:59 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:35:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:37:41 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:37:41 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 3:37:41 PM 
info: Success in fetching data || timestamp: 14-02-2024 3:37:42 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 4:08:31 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 4:08:31 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:33:28 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:33:28 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:33:28 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:33:28 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:33:33 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:33:33 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:33:33 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:33:33 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:33:51 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:33:51 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:33:51 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:33:51 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:34:22 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:34:22 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:34:22 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:34:22 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:34:25 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:34:25 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:34:25 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:34:25 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:34:27 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:34:27 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:34:27 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:34:27 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:46:21 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:46:21 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:46:21 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:46:21 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:47:33 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:47:33 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:47:33 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:47:33 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:48:36 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:48:36 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:48:36 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:48:36 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:48:45 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:48:45 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 4:48:45 PM 
info: Success in fetching data || timestamp: 14-02-2024 4:48:45 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:55:38 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:55:38 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:56:12 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:56:18 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:56:23 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:56:47 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:56:58 PM 
info: Getting user API hit... || timestamp: 14-02-2024 4:59:50 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 5:00:59 PM 
info: Success in fetching data || timestamp: 14-02-2024 5:00:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 5:00:59 PM 
info: Success in fetching data || timestamp: 14-02-2024 5:00:59 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 5:03:27 PM 
info: Success in fetching data || timestamp: 14-02-2024 5:03:27 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 5:03:27 PM 
info: Success in fetching data || timestamp: 14-02-2024 5:03:27 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 5:34:5 PM 
info: Success in fetching data || timestamp: 14-02-2024 5:34:5 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 5:34:5 PM 
info: Success in fetching data || timestamp: 14-02-2024 5:34:6 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 5:41:50 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 5:41:50 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 5:43:51 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 5:43:51 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 5:45:58 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 5:45:58 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 5:46:16 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 5:46:16 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 5:46:26 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 5:46:26 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 5:49:13 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 5:49:14 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:32:52 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:32:52 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:32:52 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:32:52 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:51:16 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:51:17 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:51:17 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:51:17 PM 
info: Getting user API hit... || timestamp: 14-02-2024 6:51:18 PM 
info: Getting user API hit... || timestamp: 14-02-2024 6:51:19 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:52:7 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:52:7 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:52:7 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:52:7 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:52:32 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:52:32 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:52:44 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:52:44 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:52:50 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:52:50 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:53:15 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:53:15 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:53:29 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:53:29 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:53:32 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:53:32 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:53:50 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:53:50 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:54:18 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:54:18 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:54:28 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:54:28 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:54:32 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:54:32 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:54:57 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:54:57 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:55:16 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:55:16 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:55:20 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:55:20 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 6:55:50 PM 
info: Success in fetching data || timestamp: 14-02-2024 6:55:50 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 7:17:45 PM 
info: Success in fetching data || timestamp: 14-02-2024 7:17:45 PM 
info: Fetching Post API hit.... || timestamp: 14-02-2024 7:17:45 PM 
info: Success in fetching data || timestamp: 14-02-2024 7:17:45 PM 
info: Server is running on port 2000 || timestamp: 14-02-2024 10:13:57 PM 
warn: DEV-Database connection Successfull || timestamp: 14-02-2024 10:13:57 PM 
info: running every minute 1, 2, 4 and 5 || timestamp: 14-02-2024 10:14:0 PM 
info: running every minute 1, 2, 4 and 5 || timestamp: 14-02-2024 10:15:0 PM 
info: running every minute 1, 2, 4 and 5 || timestamp: 14-02-2024 10:16:0 PM 
info: running every minute 1, 2, 4 and 5 || timestamp: 14-02-2024 10:17:0 PM 
info: running every minute 1, 2, 4 and 5 || timestamp: 14-02-2024 10:18:0 PM 
info: running every minute 1, 2, 4 and 5 || timestamp: 14-02-2024 10:19:0 PM 
